datetime,temperature,humidity,pressure,wind_speed,wind_direction
2/1/2021,-6,90,1005,15,225
2/1/2021,-8,90,1010,9,180
2/1/2021,-5,74,1011,6,202
2/1/2021,-8,86,1010,2,22
2/2/2021,-11,89,1012,1,22
2/2/2021,-12.5,89,1015,3,22
2/2/2021,-6.5,78,1016,5,22
2/2/2021,-5,74,1015,6,68
2/3/2021,-6,84,1013,9,68
2/3/2021,-5,94,1010,12,158
2/3/2021,-2,90,1008,17,180
2/3/2021,-1,93,1007,17,180
2/4/2021,-1,98,1005,12,180
2/4/2021,-1,100,1003,11,180
2/4/2021,0,99,998,10,135
2/4/2021,-2,100,996,9,158
2/5/2021,-4,91,1002,25,295
2/5/2021,-9.5,81,1009,23,295
2/5/2021,-11,79,1012,20,270
2/5/2021,-12,85,1013,13,270
2/6/2021,-11.5,85,1013,9,270
2/6/2021,-13,82,1013,14,292
2/6/2021,-13,75,1012,18,270
2/6/2021,-14,72,1012,20,292
